"资源拓展专员","50","2023-02-07 11:44:04","1","1","2023-02-06 15:35:41","硕士及以上","浙江大学长三角智慧绿洲创新中心","https://t2.chei.com.cn/student/ncss/cdn/job/img/tcgf0p9kh70jr1ey.png","浙江","1000-4999人","null","","机关/事业单位/非营利机构"
"综合管理专员","50","2023-02-07 11:43:34","1","1","2023-02-06 15:39:44","硕士及以上","浙江大学长三角智慧绿洲创新中心","https://t4.chei.com.cn/student/ncss/cdn/job/img/jcgcuq5re7hj7tnd.png","浙江","1000-4999人","null","","机关/事业单位/非营利机构"
"产业服务专员","50","2023-02-07 11:38:48","1","1","2023-02-06 15:42:51","硕士及以上","浙江大学长三角智慧绿洲创新中心","https://t3.chei.com.cn/student/ncss/cdn/job/img/jhkf8jy92mmvmjqz.png","浙江","1000-4999人","null","","机关/事业单位/非营利机构"
"销售管培生","10","2023-02-12 01:32:24","4","10","2023-01-13 09:19:49","专科及以上","浙江华企信息科技有限公司宁波第一分公司","https://t1.chei.com.cn/student/ncss/cdn/job/img/u11lptejvfdme2e5.png","浙江","50-99人","null","市场营销 电子商务 国际经济与贸易 工商管理 专业不限","其他"
"销售代表","40","2023-02-12 01:32:20","4.2","6","2023-01-29 10:27:41","专科及以上","浙江华企信息科技有限公司宁波第一分公司","https://t2.chei.com.cn/student/ncss/cdn/job/img/u11lptejvfdme2e5.png","浙江","50-99人","null","市场营销 电子商务 工商管理","其他"
"初级游戏特效师","16","2023-02-12 00:15:50","8","20","2022-12-22 18:02:48","专科及以上","上海动悦网络科技有限公司","https://t3.chei.com.cn/student/ncss/cdn/job/img/av4y3z4kwts3f2qv.png","上海","50-99人","五险一金，带薪年假，岗位晋升，技能培训，弹性工作，定期体检，年终奖，专项奖金，年度旅游，节日礼物","艺术类","民营企业"
"游戏特效实习生（上海）","10","2023-02-12 00:15:48","6","50","2023-02-08 10:55:33","不限","上海动悦网络科技有限公司","https://t4.chei.com.cn/student/ncss/cdn/job/img/av4y3z4kwts3f2qv.png","上海","50-99人","五险一金，带薪年假，岗位晋升，技能培训，弹性工作，定期体检，年终奖，专项奖金，年度旅游，节日礼物","艺术类 计算机类 美术类 数字媒体艺术 数字媒体设计 视觉传达设计 动漫设计 游戏设计 游戏策划 美术学 产品设计 平面设计 绘画 雕塑","民营企业"
"社群团长运营 ","12","2023-02-12 00:07:10","8","1","2023-02-08 16:08:12","不限","台州市海汐电子商务有限公司","https://t3.chei.com.cn/student/ncss/cdn/job/img/t7xwkvektilf7y5o.png","全国","1-49人","弹性工作，年终分红，绩效奖金，年度旅游","计算机 网络 技术类 行政 建筑 工厂生产类 生物 制药 电气 化工 物业管理类 酒店 媒体类 旅游 医疗卫生 美容 教育 咨询 金融保险类 技工类 经营管理类 商业零售类 贸易 物流 顾问 培训类 后勤 美术 设计 创意类 质量管理类 翻译类 销售 客户服务类 市场 公关 媒介类 人力资源类 咨询 顾问类 财务 审计类","民营企业"
"校园推广宣传员","8","2023-02-12 00:07:01","5","0","2023-02-07 08:42:34","不限","台州市海汐电子商务有限公司","https://t4.chei.com.cn/student/ncss/cdn/job/img/t7xwkvektilf7y5o.png","全国","1-49人","弹性工作，年终分红，绩效奖金，年度旅游","计算机 网络 技术类 行政 建筑 工厂生产类 生物 制药 电气 化工 物业管理类 酒店 媒体类 旅游 医疗卫生 美容 教育 咨询 金融保险类 技工类 经营管理类 商业零售类 贸易 物流 顾问 培训类 后勤 美术 设计 创意类 质量管理类 翻译类 销售 客户服务类 市场 公关 媒介类 人力资源类 咨询 顾问类 财务 审计类","民营企业"
"产品专家储备干部周末双休六险一金","10","2023-02-11 23:52:55","5","15","2023-02-04 18:15:33","专科及以上","中国平安人寿保险股份有限公司西安电话销售中心","https://t4.chei.com.cn/student/ncss/cdn/job/img/6tcm8vu1i3u4x98p.png","陕西","5000以上","五险一金，带薪年假，岗位晋升，技能培训，定期体检，专项奖金，绩效奖金，高温补贴，免费加班餐，班车接送","","股份制企业"
